Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Cum_PnL,Win/Loss,is_win
NIFTY20240328.FUT.NSE,57.0,Long,TP,21941.22,58.0,22105.36,21941.22,21859.14,164.15,0.75,171.45,Win,True
NIFTY20240425.FUT.NSE,11.0,Long,TP,22047.18,12.0,22212.12,22047.18,21964.71,164.94,0.75,62.17,Win,True
NIFTY20240425.FUT.NSE,23.0,Long,TP,22266.73,24.0,22433.31,22266.73,22183.44,166.58,0.75,542.53,Win,True
NIFTY20240425.FUT.NSE,31.0,Long,SL,22631.29,32.0,22546.63,22631.29,22546.63,-84.66,-0.37,419.29,Loss,False
NIFTY20240425.FUT.NSE,33.0,Long,SL,22315.4,36.0,22231.93,22315.4,22231.93,-83.47,-0.37,-178.32,Loss,False
NIFTY20240425.FUT.NSE,37.0,Long,TP,22111.09,38.0,22276.51,22111.09,22028.38,165.42,0.75,-255.59,Win,True
NIFTY20240425.FUT.NSE,53.0,Short,TP,22301.41,54.0,22133.73,22301.41,22385.25,-167.68,-0.75,399.27,Loss,False
NIFTY20240425.FUT.NSE,55.0,Long,TP,22110.34,56.0,22275.75,22110.34,22027.63,165.41,0.75,493.53,Win,True
NIFTY20240530.FUT.NSE,9.0,Long,SL,22452.99,12.0,22369.0,22452.99,22369.0,-83.99,-0.37,-21.82,Loss,False
NIFTY20240530.FUT.NSE,13.0,Long,TP,22266.13,14.0,22432.71,22266.13,22182.84,166.58,0.75,-52.84,Win,True
NIFTY20240530.FUT.NSE,29.0,Short,TP,22454.62,30.0,22285.79,22454.62,22539.04,-168.83,-0.75,612.47,Loss,False
NIFTY20240530.FUT.NSE,31.0,Long,TP,22261.62,32.0,22428.16,22261.62,22178.34,166.55,0.75,585.84,Win,True
NIFTY20240530.FUT.NSE,42.0,Short,TP,22493.77,44.0,22324.65,22493.77,22578.34,-169.13,-0.75,-103.63,Loss,False
NIFTY20240530.FUT.NSE,45.0,Long,TP,22130.99,47.0,22296.56,22130.99,22048.21,165.57,0.75,143.54,Win,True
NIFTY20240627.FUT.NSE,10.0,Short,TP,22592.03,11.0,22422.16,22592.03,22676.96,-169.86,-0.75,85.95,Loss,False
NIFTY20240627.FUT.NSE,12.0,Long,TP,22400.26,13.0,22567.84,22400.26,22316.47,167.58,0.75,67.81,Win,True
NIFTY20240627.FUT.NSE,20.0,Long,TP,21962.92,21.0,22127.23,21962.92,21880.76,164.31,0.75,-225.61,Win,True
NIFTY20240829.FUT.NSE,36.0,Short,SL,24520.99,38.0,24613.18,24520.99,24613.18,92.18,0.38,-270.35,Win,True
NIFTY20240829.FUT.NSE,45.0,Short,SL,24042.69,46.0,24133.08,24042.69,24133.08,90.39,0.38,-22.03,Win,True
NIFTY20240926.FUT.NSE,17.0,Short,SL,24657.85,19.0,24750.55,24657.85,24750.55,92.7,0.38,-293.29,Win,True
NIFTY20240926.FUT.NSE,26.0,Short,SL,24170.57,27.0,24261.44,24170.57,24261.44,90.87,0.38,429.86,Win,True
NIFTY20240926.FUT.NSE,49.0,Long,TP,24968.26,52.0,25155.06,24968.26,24874.87,186.79,0.75,721.06,Win,True
NIFTY20241031.FUT.NSE,7.0,Short,SL,24291.32,8.0,24382.64,24291.32,24382.64,91.32,0.38,-263.89,Win,True
NIFTY20241031.FUT.NSE,30.0,Long,SL,25106.11,32.0,25012.2,25106.11,25012.2,-93.91,-0.37,340.14,Loss,False
NIFTY20241031.FUT.NSE,47.0,Short,TP,25904.33,48.0,25709.56,25904.33,26001.71,-194.77,-0.75,375.18,Loss,False
NIFTY20241031.FUT.NSE,49.0,Short,TIME,25110.92,52.0,25117.9,25110.92,25205.32,6.98,0.03,728.04,Win,True
NIFTY20241031.FUT.NSE,57.0,Short,TP,24986.18,59.0,24798.31,24986.18,25080.11,-187.87,-0.75,-21.44,Loss,False
NIFTY20241031.FUT.NSE,60.0,Short,TP,24726.83,61.0,24540.91,24726.83,24819.79,-185.92,-0.75,-280.85,Loss,False
NIFTY20241031.FUT.NSE,62.0,Short,TP,24421.44,63.0,24237.82,24421.44,24513.25,-183.62,-0.75,-536.66,Loss,False
NIFTY20241031.FUT.NSE,64.0,Long,TP,24253.23,65.0,24434.68,24253.23,24162.51,181.45,0.75,-355.21,Win,True
NIFTY20241128.FUT.NSE,23.0,Short,TP,26033.25,24.0,25837.52,26033.25,26131.12,-195.74,-0.75,346.79,Loss,False
NIFTY20241128.FUT.NSE,25.0,Short,TIME,25263.88,28.0,25266.3,25263.88,25358.86,2.42,0.01,614.26,Win,True
NIFTY20241128.FUT.NSE,34.0,Long,SL,25047.51,35.0,24953.82,25047.51,24953.82,-93.69,-0.37,-94.85,Loss,False
NIFTY20241128.FUT.NSE,36.0,Short,TP,24862.39,37.0,24675.45,24862.39,24955.86,-186.94,-0.75,-431.18,Loss,False
NIFTY20241128.FUT.NSE,38.0,Short,TP,24558.0,39.0,24373.35,24558.0,24650.32,-184.65,-0.75,-264.81,Loss,False
NIFTY20241128.FUT.NSE,40.0,Long,TP,24394.13,41.0,24576.63,24394.13,24302.88,182.5,0.75,152.94,Win,True
